path,label
data/5-flowers/train/rose/8642943283_47e44d049d_m.jpg,rose
data/5-flowers/train/daisy/7416083788_fcb4c4f27e_n.jpg,daisy
data/5-flowers/train/dandelion/9726260379_4e8ee66875_m.jpg,dandelion
data/5-flowers/train/rose/16449467833_d82aac5749_m.jpg,rose
data/5-flowers/train/dandelion/6146107825_45f708ecd7_n.jpg,dandelion
data/5-flowers/train/tulip/16904202259_8f45d045c3_m.jpg,tulip
data/5-flowers/train/dandelion/6994931102_4667c0352e.jpg,dandelion
data/5-flowers/train/dandelion/19812060274_c432f603db.jpg,dandelion
data/5-flowers/train/daisy/2581171297_b0a249b92b_n.jpg,daisy
data/5-flowers/train/rose/16100313047_c2e23cbb3d_n.jpg,rose
data/5-flowers/train/tulip/17324469461_2b318aff8d_m.jpg,tulip
data/5-flowers/train/sunflower/14623720226_aeeac66e0a_n.jpg,sunflower
data/5-flowers/train/tulip/14024864234_713158c27f_n.jpg,tulip
data/5-flowers/train/rose/4609168052_3d4e1d3804_n.jpg,rose
data/5-flowers/train/dandelion/10946896405_81d2d50941_m.jpg,dandelion
data/5-flowers/train/tulip/8668974855_8389ecbdca_m.jpg,tulip
data/5-flowers/train/rose/16374919860_4e445de29f_n.jpg,rose
data/5-flowers/train/dandelion/8689302980_9bd2f7b9fe_n.jpg,dandelion
data/5-flowers/train/sunflower/14889779907_3d401bbac7_m.jpg,sunflower
data/5-flowers/train/daisy/14073784469_ffb12f3387_n.jpg,daisy
data/5-flowers/train/sunflower/14121915990_4b76718077_m.jpg,sunflower
data/5-flowers/train/daisy/4434592930_6610d51fca_m.jpg,daisy
data/5-flowers/train/dandelion/8929523512_c87897b84e.jpg,dandelion
data/5-flowers/train/rose/8394286483_69fe04cc7f.jpg,rose
data/5-flowers/train/rose/17090993740_fcc8b60b81.jpg,rose
data/5-flowers/train/dandelion/3533075436_0954145b9f_m.jpg,dandelion
data/5-flowers/train/rose/6036837996_7fbdcdb3c5_n.jpg,rose
data/5-flowers/train/dandelion/5598591979_ed9af1b3e9_n.jpg,dandelion
data/5-flowers/train/tulip/5674134129_2db5136cba.jpg,tulip
data/5-flowers/train/dandelion/12094442595_297494dba4_m.jpg,dandelion
data/5-flowers/train/tulip/17844723633_da85357fe3.jpg,tulip
data/5-flowers/train/dandelion/14199664556_188b37e51e.jpg,dandelion
data/5-flowers/train/dandelion/14053173516_a00150a919_m.jpg,dandelion
data/5-flowers/train/tulip/13903937027_44b9f2f5b8.jpg,tulip
data/5-flowers/train/dandelion/10778387133_9141024b10.jpg,dandelion
data/5-flowers/train/dandelion/7280222348_a87725ca77.jpg,dandelion
data/5-flowers/train/daisy/3939135368_0af5c4982a_n.jpg,daisy
data/5-flowers/train/tulip/16717320956_d4b00807f2.jpg,tulip
data/5-flowers/train/daisy/2579018590_74359dcf1a_m.jpg,daisy
data/5-flowers/train/tulip/4679869990_7c5f28f2fe_n.jpg,tulip
data/5-flowers/train/sunflower/5896354497_6a19162741.jpg,sunflower
data/5-flowers/train/tulip/8688502760_1c8d6de921_m.jpg,tulip
data/5-flowers/train/sunflower/6198569425_e953b9e6cc_m.jpg,sunflower
data/5-flowers/train/sunflower/20183071136_c297e74fcc_m.jpg,sunflower
data/5-flowers/train/sunflower/13959937305_2f5c532886_n.jpg,sunflower
data/5-flowers/train/sunflower/5556633113_0a04f5ed8a_n.jpg,sunflower
data/5-flowers/train/dandelion/17346385582_7ba433dbbe.jpg,dandelion
